name,rank,tuition_and_fees,in_state
University of Texas--Dallas,146,"$33,654","$12,162"
Illinois State University,152,"$20,886","$13,296"
Immaculata University,152,"$35,210",
Oklahoma State University,152,"$20,978","$7,778"
University of California--Merced,152,"$39,944","$13,262"
University of Illinois--Chicago,152,"$26,526","$13,670"
University of La Verne,152,"$39,900",
University of Massachusetts (UMass) - Lowell,152,"$29,125","$13,427"
Seattle Pacific University,159,"$38,940",
University of Alabama at Birmingham (UAB),159,"$17,654","$7,766"
University of Maryland Baltimore County (UMBC),159,"$24,492","$11,264"
University of Rhode Island (URI),159,"$28,852","$12,862"
University of South Florida (USF),159,"$17,325","$6,410"
Biola University,164,"$36,696",
Maryville University of St. Louis,164,"$27,958",
Missouri University of Science & Technology,164,"$26,152","$9,628"
St. John's University,164,"$39,460",
Virginia Commonwealth University (VCU),164,"$31,608","$13,076"
Union University,169,"$30,420",
University of Hawaii--Manoa,169,"$33,764","$11,732"
Edgewood College,171,"$27,530",
Florida Institute of Technology,171,"$40,446",
University of Idaho,171,"$22,040","$7,232"
University of Louisville,171,"$24,626","$10,738"
University of Wyoming (UW),171,"$16,215","$5,055"
Ball State University,176,"$25,428","$9,654"
Lipscomb University,176,"$29,756",
Mississippi State University (MSU),176,"$20,142","$7,502"
Montclair State University,176,"$20,318","$11,771"
Texas Tech University,176,"$22,861","$10,622"
University of Central Florida (UCF),176,"$22,467","$6,368"
University of New Mexico (UNM),176,"$21,302","$7,071"
Andrews University,183,"$27,684",
Azusa Pacific University,183,"$36,120",
University of Maine,183,"$29,498","$10,628"
West Virginia University (WVU),183,"$21,432","$7,632"
Widener University,183,"$42,870",
Kent State University,188,"$18,376","$10,012"
North Dakota State University (NDSU),188,"$19,790","$9,046"
Pace University,188,"$42,772",
Robert Morris University,188,"$28,250",
Suffolk University,188,"$35,578",
University of Hartford,188,"$37,790",
Bowling Green State University,194,"$18,332","$10,796"
University of Houston (UH),194,"$25,410","$10,710"
Western Michigan University (WMU),194,"$25,713","$11,029"
Purdue University,197,"$29,791","$9,205"
